video1,video2,PSNR_YYUV,SSIM (precise)_YYUV
assassin_st4_360p30fps.yuv,v205_avc_0B/assassin_st4_360p30fps_25.264,40.21876,0.96301
assassin_st4_360p30fps.yuv,v205_avc_0B/assassin_st4_360p30fps_28.264,38.08847,0.94553
assassin_st4_360p30fps.yuv,v205_avc_0B/assassin_st4_360p30fps_31.264,36.12606,0.92476
assassin_st4_360p30fps.yuv,v205_avc_0B/assassin_st4_360p30fps_34.264,33.93736,0.89440
assassin_st4_360p30fps.yuv,v205_avc_0B/assassin_st4_360p30fps_37.264,32.03041,0.86375
assassin_st4_360p30fps.yuv,v205_avc_0B/assassin_st4_360p30fps_40.264,30.25278,0.83193
assassin_st4_360p30fps.yuv,v205_avc_0B/assassin_st4_360p30fps_43.264,28.63374,0.80157
assassin_st4_360p30fps.yuv,v205_avc_0B/assassin_st4_360p30fps_48.264,25.98495,0.75286
assassin_st4_360p30fps.yuv,v205_avc_3B/assassin_st4_360p30fps_25.264,40.46610,0.96487
assassin_st4_360p30fps.yuv,v205_avc_3B/assassin_st4_360p30fps_28.264,38.25880,0.94742
assassin_st4_360p30fps.yuv,v205_avc_3B/assassin_st4_360p30fps_31.264,36.44298,0.92902
assassin_st4_360p30fps.yuv,v205_avc_3B/assassin_st4_360p30fps_34.264,34.43927,0.90264
assassin_st4_360p30fps.yuv,v205_avc_3B/assassin_st4_360p30fps_37.264,32.65759,0.87512
assassin_st4_360p30fps.yuv,v205_avc_3B/assassin_st4_360p30fps_40.264,30.91913,0.84541
assassin_st4_360p30fps.yuv,v205_avc_3B/assassin_st4_360p30fps_43.264,29.22269,0.81380
assassin_st4_360p30fps.yuv,v205_avc_3B/assassin_st4_360p30fps_48.264,26.50820,0.76216
assassin_st4_360p30fps.yuv,x264_0B/assassin_st4_360p30fps_25.h264,40.15387,0.96156
assassin_st4_360p30fps.yuv,x264_0B/assassin_st4_360p30fps_28.h264,38.06449,0.94384
