video1,video2,PSNR_YYUV,SSIM (precise)_YYUV
assassin_st4_360p30fps.yuv,x264_0B/assassin_st4_360p30fps_31.h264,36.10732,0.92257
assassin_st4_360p30fps.yuv,x264_0B/assassin_st4_360p30fps_34.h264,34.17564,0.89736
assassin_st4_360p30fps.yuv,x264_0B/assassin_st4_360p30fps_37.h264,32.38811,0.86980
assassin_st4_360p30fps.yuv,x264_0B/assassin_st4_360p30fps_40.h264,30.55735,0.83843
assassin_st4_360p30fps.yuv,x264_0B/assassin_st4_360p30fps_43.h264,28.80785,0.80546
assassin_st4_360p30fps.yuv,x264_0B/assassin_st4_360p30fps_48.h264,25.75079,0.74373
assassin_st4_360p30fps.yuv,x264_3B/assassin_st4_360p30fps_25.h264,40.29387,0.96265
assassin_st4_360p30fps.yuv,x264_3B/assassin_st4_360p30fps_28.h264,38.20846,0.94527
assassin_st4_360p30fps.yuv,x264_3B/assassin_st4_360p30fps_31.h264,36.26351,0.92452
assassin_st4_360p30fps.yuv,x264_3B/assassin_st4_360p30fps_34.h264,34.33988,0.89963
assassin_st4_360p30fps.yuv,x264_3B/assassin_st4_360p30fps_37.h264,32.54891,0.87223
assassin_st4_360p30fps.yuv,x264_3B/assassin_st4_360p30fps_40.h264,30.70156,0.84068
assassin_st4_360p30fps.yuv,x264_3B/assassin_st4_360p30fps_43.h264,28.93435,0.80760
assassin_st4_360p30fps.yuv,x264_3B/assassin_st4_360p30fps_48.h264,25.86011,0.74594
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP/assassin_st4_360p30fps_25.h264,40.26178,0.96242
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP/assassin_st4_360p30fps_28.h264,38.18223,0.94507
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP/assassin_st4_360p30fps_31.h264,36.23808,0.92431
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP/assassin_st4_360p30fps_34.h264,34.31909,0.89949
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP/assassin_st4_360p30fps_37.h264,32.53019,0.87210
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP/assassin_st4_360p30fps_40.h264,30.68868,0.84063
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP/assassin_st4_360p30fps_43.h264,28.92376,0.80758
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP/assassin_st4_360p30fps_48.h264,25.85369,0.74599
assassin_st4_360p30fps.yuv,x264_0B_scenecut/assassin_st4_360p30fps_25.h264,40.14527,0.96149
assassin_st4_360p30fps.yuv,x264_0B_scenecut/assassin_st4_360p30fps_28.h264,38.06054,0.94380
assassin_st4_360p30fps.yuv,x264_0B_scenecut/assassin_st4_360p30fps_31.h264,36.10010,0.92246
assassin_st4_360p30fps.yuv,x264_0B_scenecut/assassin_st4_360p30fps_34.h264,34.17730,0.89736
assassin_st4_360p30fps.yuv,x264_0B_scenecut/assassin_st4_360p30fps_37.h264,32.38842,0.86975
assassin_st4_360p30fps.yuv,x264_0B_scenecut/assassin_st4_360p30fps_40.h264,30.57520,0.83878
assassin_st4_360p30fps.yuv,x264_0B_scenecut/assassin_st4_360p30fps_43.h264,28.86196,0.80657
assassin_st4_360p30fps.yuv,x264_0B_scenecut/assassin_st4_360p30fps_48.h264,25.95639,0.74799
assassin_st4_360p30fps.yuv,x264_3B_dynamic/assassin_st4_360p30fps_25.h264,40.27504,0.96251
assassin_st4_360p30fps.yuv,x264_3B_dynamic/assassin_st4_360p30fps_28.h264,38.19018,0.94511
assassin_st4_360p30fps.yuv,x264_3B_dynamic/assassin_st4_360p30fps_31.h264,36.24360,0.92431
assassin_st4_360p30fps.yuv,x264_3B_dynamic/assassin_st4_360p30fps_34.h264,34.32555,0.89948
assassin_st4_360p30fps.yuv,x264_3B_dynamic/assassin_st4_360p30fps_37.h264,32.54157,0.87217
assassin_st4_360p30fps.yuv,x264_3B_dynamic/assassin_st4_360p30fps_40.h264,30.72140,0.84118
assassin_st4_360p30fps.yuv,x264_3B_dynamic/assassin_st4_360p30fps_43.h264,29.00856,0.80923
assassin_st4_360p30fps.yuv,x264_3B_dynamic/assassin_st4_360p30fps_48.h264,26.12907,0.75186
assassin_st4_360p30fps.yuv,x264_3B_dynamic_defaultGOP/assassin_st4_360p30fps_25.h264,40.23729,0.96223
assassin_st4_360p30fps.yuv,x264_3B_dynamic_defaultGOP/assassin_st4_360p30fps_28.h264,38.15689,0.94484
assassin_st4_360p30fps.yuv,x264_3B_dynamic_defaultGOP/assassin_st4_360p30fps_31.h264,36.20435,0.92390
assassin_st4_360p30fps.yuv,x264_3B_dynamic_defaultGOP/assassin_st4_360p30fps_34.h264,34.28398,0.89899
assassin_st4_360p30fps.yuv,x264_3B_dynamic_defaultGOP/assassin_st4_360p30fps_37.h264,32.50034,0.87168
assassin_st4_360p30fps.yuv,x264_3B_dynamic_defaultGOP/assassin_st4_360p30fps_40.h264,30.67998,0.84065
assassin_st4_360p30fps.yuv,x264_3B_dynamic_defaultGOP/assassin_st4_360p30fps_43.h264,28.96988,0.80867
assassin_st4_360p30fps.yuv,x264_3B_dynamic_defaultGOP/assassin_st4_360p30fps_48.h264,26.09544,0.75126
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP_me32/assassin_st4_360p30fps_25.h264,40.26178,0.96242
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP_me32/assassin_st4_360p30fps_28.h264,38.18223,0.94507
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP_me32/assassin_st4_360p30fps_31.h264,36.23808,0.92431
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP_me32/assassin_st4_360p30fps_34.h264,34.31909,0.89949
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP_me32/assassin_st4_360p30fps_37.h264,32.53019,0.87210
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP_me32/assassin_st4_360p30fps_40.h264,30.68868,0.84063
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP_me32/assassin_st4_360p30fps_43.h264,28.92376,0.80758
assassin_st4_360p30fps.yuv,x264_3B_defaultGOP_me32/assassin_st4_360p30fps_48.h264,25.85369,0.74599
assassin_st4_360p30fps.yuv,x264_3B_me32/assassin_st4_360p30fps_25.h264,40.29387,0.96265
assassin_st4_360p30fps.yuv,x264_3B_me32/assassin_st4_360p30fps_28.h264,38.20846,0.94527
assassin_st4_360p30fps.yuv,x264_3B_me32/assassin_st4_360p30fps_31.h264,36.26351,0.92452
assassin_st4_360p30fps.yuv,x264_3B_me32/assassin_st4_360p30fps_34.h264,34.33988,0.89963
assassin_st4_360p30fps.yuv,x264_3B_me32/assassin_st4_360p30fps_37.h264,32.54891,0.87223
assassin_st4_360p30fps.yuv,x264_3B_me32/assassin_st4_360p30fps_40.h264,30.70156,0.84068
assassin_st4_360p30fps.yuv,x264_3B_me32/assassin_st4_360p30fps_43.h264,28.93435,0.80760
assassin_st4_360p30fps.yuv,x264_3B_me32/assassin_st4_360p30fps_48.h264,25.86011,0.74594
assassin_st4_360p30fps.yuv,x264_0B_me32/assassin_st4_360p30fps_25.h264,40.15387,0.96156
assassin_st4_360p30fps.yuv,x264_0B_me32/assassin_st4_360p30fps_28.h264,38.06449,0.94384
assassin_st4_360p30fps.yuv,x264_0B_me32/assassin_st4_360p30fps_31.h264,36.10732,0.92257
assassin_st4_360p30fps.yuv,x264_0B_me32/assassin_st4_360p30fps_34.h264,34.17564,0.89736
assassin_st4_360p30fps.yuv,x264_0B_me32/assassin_st4_360p30fps_37.h264,32.38811,0.86980
assassin_st4_360p30fps.yuv,x264_0B_me32/assassin_st4_360p30fps_40.h264,30.55735,0.83843
assassin_st4_360p30fps.yuv,x264_0B_me32/assassin_st4_360p30fps_43.h264,28.80785,0.80546
assassin_st4_360p30fps.yuv,x264_0B_me32/assassin_st4_360p30fps_48.h264,25.75079,0.74373
