video1,video2,PSNR_YYUV,SSIM (precise)_YYUV
assassin_st4_720p30fps.yuv,v205_avc_0B/assassin_st4_720p30fps_25.264,42.38170,0.97626
assassin_st4_720p30fps.yuv,v205_avc_0B/assassin_st4_720p30fps_28.264,40.32454,0.96604
assassin_st4_720p30fps.yuv,v205_avc_0B/assassin_st4_720p30fps_31.264,38.40916,0.95366
assassin_st4_720p30fps.yuv,v205_avc_0B/assassin_st4_720p30fps_34.264,36.21515,0.93504
assassin_st4_720p30fps.yuv,v205_avc_0B/assassin_st4_720p30fps_37.264,34.28038,0.91564
assassin_st4_720p30fps.yuv,v205_avc_0B/assassin_st4_720p30fps_40.264,32.44901,0.89512
assassin_st4_720p30fps.yuv,v205_avc_0B/assassin_st4_720p30fps_43.264,30.73426,0.87489
assassin_st4_720p30fps.yuv,v205_avc_0B/assassin_st4_720p30fps_48.264,27.79538,0.83988
assassin_st4_720p30fps.yuv,v205_avc_3B/assassin_st4_720p30fps_25.264,42.63037,0.97742
assassin_st4_720p30fps.yuv,v205_avc_3B/assassin_st4_720p30fps_28.264,40.48528,0.96712
assassin_st4_720p30fps.yuv,v205_avc_3B/assassin_st4_720p30fps_31.264,38.72188,0.95618
assassin_st4_720p30fps.yuv,v205_avc_3B/assassin_st4_720p30fps_34.264,36.70701,0.93993
assassin_st4_720p30fps.yuv,v205_avc_3B/assassin_st4_720p30fps_37.264,34.89300,0.92256
assassin_st4_720p30fps.yuv,v205_avc_3B/assassin_st4_720p30fps_40.264,33.09834,0.90328
assassin_st4_720p30fps.yuv,v205_avc_3B/assassin_st4_720p30fps_43.264,31.30209,0.88199
assassin_st4_720p30fps.yuv,v205_avc_3B/assassin_st4_720p30fps_48.264,28.26682,0.84435
assassin_st4_720p30fps.yuv,x264_0B/assassin_st4_720p30fps_25.h264,42.30644,0.97562
assassin_st4_720p30fps.yuv,x264_0B/assassin_st4_720p30fps_28.h264,40.27679,0.96525
assassin_st4_720p30fps.yuv,x264_0B/assassin_st4_720p30fps_31.h264,38.35265,0.95254
assassin_st4_720p30fps.yuv,x264_0B/assassin_st4_720p30fps_34.h264,36.40870,0.93667
assassin_st4_720p30fps.yuv,x264_0B/assassin_st4_720p30fps_37.h264,34.57531,0.91895
assassin_st4_720p30fps.yuv,x264_0B/assassin_st4_720p30fps_40.h264,32.66013,0.89804
assassin_st4_720p30fps.yuv,x264_0B/assassin_st4_720p30fps_43.h264,30.76389,0.87432
assassin_st4_720p30fps.yuv,x264_0B/assassin_st4_720p30fps_48.h264,27.33485,0.82641
assassin_st4_720p30fps.yuv,x264_3B/assassin_st4_720p30fps_25.h264,42.42265,0.97622
assassin_st4_720p30fps.yuv,x264_3B/assassin_st4_720p30fps_28.h264,40.41107,0.96610
assassin_st4_720p30fps.yuv,x264_3B/assassin_st4_720p30fps_31.h264,38.51009,0.95375
assassin_st4_720p30fps.yuv,x264_3B/assassin_st4_720p30fps_34.h264,36.59111,0.93825
assassin_st4_720p30fps.yuv,x264_3B/assassin_st4_720p30fps_37.h264,34.76364,0.92079
assassin_st4_720p30fps.yuv,x264_3B/assassin_st4_720p30fps_40.h264,32.85037,0.90015
assassin_st4_720p30fps.yuv,x264_3B/assassin_st4_720p30fps_43.h264,30.94093,0.87670
assassin_st4_720p30fps.yuv,x264_3B/assassin_st4_720p30fps_48.h264,27.45672,0.82924
assassin_st4_720p30fps.yuv,x264_3B_defaultGOP/assassin_st4_720p30fps_25.h264,42.38147,0.97601
assassin_st4_720p30fps.yuv,x264_3B_defaultGOP/assassin_st4_720p30fps_28.h264,40.37796,0.96589
assassin_st4_720p30fps.yuv,x264_3B_defaultGOP/assassin_st4_720p30fps_31.h264,38.48266,0.95355
assassin_st4_720p30fps.yuv,x264_3B_defaultGOP/assassin_st4_720p30fps_34.h264,36.56784,0.93806
assassin_st4_720p30fps.yuv,x264_3B_defaultGOP/assassin_st4_720p30fps_37.h264,34.74429,0.92064
assassin_st4_720p30fps.yuv,x264_3B_defaultGOP/assassin_st4_720p30fps_40.h264,32.82780,0.89995
assassin_st4_720p30fps.yuv,x264_3B_defaultGOP/assassin_st4_720p30fps_43.h264,30.91925,0.87653
assassin_st4_720p30fps.yuv,x264_3B_defaultGOP/assassin_st4_720p30fps_48.h264,27.43382,0.82898
